"","longitude","latitude","year","month","day","dataname"
"103",-110.981741,32.339288,2018,5,12,"gbif_filtered"
"104",-110.981741,32.339288,2018,5,5,"gbif_filtered"
"105",-110.981741,32.339288,2018,5,19,"gbif_filtered"
"106",-110.981741,32.339288,2018,6,2,"gbif_filtered"
"107",-110.981741,32.339288,2018,6,30,"gbif_filtered"
"108",-110.981741,32.339288,2018,7,7,"gbif_filtered"
"109",-110.981741,32.339288,2018,7,28,"gbif_filtered"
"110",-110.981741,32.339288,2018,7,14,"gbif_filtered"
"111",-110.981741,32.339288,2018,7,21,"gbif_filtered"
"112",-110.981741,32.339288,2018,8,4,"gbif_filtered"
"113",-110.981741,32.339288,2018,8,11,"gbif_filtered"
"114",-110.981741,32.339288,2018,8,25,"gbif_filtered"
"115",-110.981741,32.339288,2018,8,18,"gbif_filtered"
"116",-110.981741,32.339288,2018,9,1,"gbif_filtered"
"117",-110.981741,32.339288,2018,9,8,"gbif_filtered"
"118",-110.981741,32.339288,2018,9,22,"gbif_filtered"
"119",-110.981741,32.339288,2018,9,29,"gbif_filtered"
"120",-110.981741,32.339288,2018,10,20,"gbif_filtered"
"121",-110.981741,32.339288,2018,10,27,"gbif_filtered"
"122",-110.981741,32.339288,2018,10,6,"gbif_filtered"
"123",-110.981741,32.339288,2018,10,14,"gbif_filtered"
"124",-110.981741,32.339288,2018,11,10,"gbif_filtered"
"125",-110.981741,32.339288,2018,11,24,"gbif_filtered"
"126",-110.981741,32.339288,2018,11,17,"gbif_filtered"
"127",-110.981741,32.339288,2018,11,4,"gbif_filtered"
"128",-110.981741,32.339288,2018,12,8,"gbif_filtered"
"129",-110.981741,32.339288,2018,12,15,"gbif_filtered"
"130",-110.981741,32.339288,2018,12,1,"gbif_filtered"
"131",-111.861148,33.575797,2017,1,28,"gbif_filtered"
"132",-110.981741,32.339288,2017,1,28,"gbif_filtered"
"133",-110.981741,32.339288,2017,1,14,"gbif_filtered"
"134",-110.981741,32.339288,2017,1,7,"gbif_filtered"
"135",-110.903803,32.221296,2017,2,7,"gbif_filtered"
"136",-110.903803,32.221296,2017,2,4,"gbif_filtered"
"137",-110.903803,32.221296,2017,2,1,"gbif_filtered"
"138",-110.981741,32.339288,2017,2,4,"gbif_filtered"
"139",-110.981741,32.339288,2017,2,11,"gbif_filtered"
"140",-110.981741,32.339288,2017,3,18,"gbif_filtered"
"141",-110.981741,32.339288,2017,3,4,"gbif_filtered"
"142",-110.981741,32.339288,2017,3,11,"gbif_filtered"
"143",-111.158272,33.279315,2017,3,20,"gbif_filtered"
"144",-110.981741,32.339288,2017,3,25,"gbif_filtered"
"145",-110.981741,32.339288,2017,4,22,"gbif_filtered"
"146",-110.981741,32.339288,2017,4,8,"gbif_filtered"
"147",-110.981741,32.339288,2017,4,1,"gbif_filtered"
"148",-110.981741,32.339288,2017,4,15,"gbif_filtered"
"149",-110.981741,32.339288,2017,5,20,"gbif_filtered"
"150",-110.981741,32.339288,2017,5,6,"gbif_filtered"
"151",-110.981741,32.339288,2017,5,27,"gbif_filtered"
"152",-110.981741,32.339288,2017,5,13,"gbif_filtered"
"153",-110.981741,32.339288,2017,6,23,"gbif_filtered"
"154",-110.981741,32.339288,2017,6,18,"gbif_filtered"
"155",-110.981741,32.339288,2017,6,10,"gbif_filtered"
"156",-110.981741,32.339288,2017,6,3,"gbif_filtered"
"157",-110.981741,32.339288,2017,8,26,"gbif_filtered"
"158",-110.981741,32.339288,2017,8,19,"gbif_filtered"
"159",-110.981741,32.339288,2017,8,12,"gbif_filtered"
